Geneid,log2FoldChange,padj
Maml1,-1.070149058,2.53E-08
Gnb1,0.332588858,2.53E-08
Arhgef2,0.300862373,2.56E-08
Clptm1l,0.321470454,2.58E-08
Ttc27,0.292232341,2.58E-08
Tmem238,1.149345677,2.58E-08
Lrrc58,-0.836600281,2.61E-08
Gprc5c,-1.396153087,2.66E-08
Midn,-0.722700805,2.66E-08
Mfap3,-0.702594618,2.66E-08
Stoml2,0.598981454,2.66E-08
Tmem9,0.592684413,2.76E-08
Ndufa12,0.850003478,2.76E-08
Cnot11,-0.580518606,2.78E-08
Ostm1,-0.542560255,2.79E-08
Mpv17l,-0.746973452,2.80E-08
Zfp260,-0.812664398,2.80E-08
Hadh,0.457588977,2.83E-08
Tnfaip2,-0.594524233,2.90E-08
Cox8a,0.829261515,3.03E-08
Rps11,0.839899713,3.03E-08
Copb2,-0.344777844,3.03E-08
Fbxo32,-0.874811313,3.03E-08
Slc25a5,0.387335718,3.03E-08
Mpdu1,0.725214649,3.13E-08
Ruvbl2,0.550771798,3.20E-08
Sap30,0.692878052,3.20E-08
Trim21,-1.046716225,3.22E-08
Ddit4,-0.731732567,3.26E-08
Surf2,0.488871279,3.27E-08
Mttp,-0.549194348,3.27E-08
Me2,0.431750786,3.39E-08
Trim8,-0.560263994,3.40E-08
Slc41a2,-0.90506287,3.50E-08
Tmem106c,0.458791083,3.50E-08
Nars,0.300311495,3.54E-08
Sox9,-0.840587784,3.58E-08
Gm10327,1.464375023,3.58E-08
Arid5b,-1.276474062,3.59E-08
Map3k11,-0.667947803,3.67E-08
Sephs2,-0.614828493,3.78E-08
Rbbp6,-0.836858863,3.78E-08
Fam120b,-0.788051351,3.81E-08
Rgmb,-0.512307442,3.81E-08
Lyar,0.803052538,3.81E-08
Aatk,-0.576109507,3.85E-08
Gm15191,1.20120097,3.86E-08
Arl4c,-0.610591348,3.87E-08
Gga1,0.410138903,3.87E-08
Mgat3,-1.12615735,3.88E-08
Mrps36,0.719270888,4.04E-08
B4galt5,-0.739272798,4.10E-08
Adck3,-0.540667344,4.13E-08
Sdc1,0.291251816,4.13E-08
0610009O20Rik,0.312301949,4.13E-08
Eif4ebp1,0.808790779,4.15E-08
Tcaf1,-0.783085153,4.21E-08
Nt5dc2,0.602406384,4.22E-08
Zfp568,-1.139315593,4.26E-08
Zbtb38,-1.090439323,4.26E-08
Prpf19,0.295415157,4.27E-08
Snrpa,0.709367488,4.32E-08
Oasl2,-0.769520372,4.34E-08
Poldip2,0.383339898,4.42E-08
Rfc5,0.56354726,4.50E-08
Gpr180,-0.395076341,4.52E-08
Nabp2,0.712760197,4.68E-08
RP23-110C17.1,1.539478642,4.68E-08
Ints10,0.308528508,4.74E-08
Trib1,-1.390555146,4.84E-08
Fbxl14,-0.872715841,4.89E-08
Ddit3,0.965433537,4.93E-08
Nup85,0.527275043,4.96E-08
Ept1,-0.562268611,4.99E-08
Tle4,-0.928688838,5.04E-08
Got2,0.355017892,5.05E-08
Ccl2,-0.728538296,5.17E-08
Tsc22d2,-1.167266969,5.20E-08
Gm4951,-1.143357308,5.21E-08
Fkbp1a,0.652330634,5.29E-08
Cnot3,0.269932394,5.31E-08
Smarce1,0.440623041,5.62E-08
Slc43a2,-0.557253822,5.62E-08
Capn1,0.339422981,5.62E-08
Trim30a,-0.821156286,5.67E-08
Ifi44,-0.924919345,5.74E-08
Zfp110,-0.647729362,5.74E-08
Syngr2,0.573099258,5.77E-08
